"128","2","NA","NA","5","5","1","12"
"29","5","5","0","NA","NA","0","10"
"72","5","NA","NA","5","-1","1","10"
"131","NA","5","NA","5","NA","0","10"
"188","5","NA","NA","5","NA","1","10"
"192","5","0","5","NA","NA","1","10"
"94","3","NA","NA","4","0","0","7"
"18","2","NA","NA","4","0","0","6"
"17","0","5","0","NA","0","0","5"
"25","0","3","0","2","-1","0","5"
"59","0","-1","NA","5","NA","1","5"
"78","NA","NA","NA","5","NA","1","5"
"87","5","NA","0","NA","0","0","5"
"114","5","NA","NA","NA","0","0","5"
"154","0","0","NA","5","NA","0","5"
"155","5","NA","0","NA","NA","0","5"
"187","NA","NA","NA","5","NA","0","5"
"1","NA","NA","NA","4","0","0","4"
"2","NA","NA","NA","4","NA","0","4"
"4","0","NA","NA","4","NA","1","4"
"26","NA","NA","NA","4","NA","1","4"
"34","NA","NA","NA","4","NA","0","4"
"39","NA","NA","NA","4","0","0","4"
"40","NA","NA","-1","4","NA","0","4"
"56","0","NA","NA","4","NA","0","4"
"80","0","NA","NA","4","NA","0","4"
"90","NA","NA","NA","4","NA","0","4"
"127","0","NA","NA","4","NA","0","4"
"156","NA","NA","NA","4","NA","0","4"
"158","0","0","0","4","NA","0","4"
"163","NA","NA","0","4","NA","0","4"
"165","0","0","0","4","NA","1","4"
"199","NA","NA","NA","4","0","0","4"
"3","NA","NA","0","3","NA","0","3"
"9","NA","NA","NA","3","NA","0","3"
"30","0","NA","NA","3","NA","0","3"
"32","-1","NA","NA","3","0","0","3"
"58","NA","NA","NA","3","0","0","3"
"68","0","0","0","3","NA","0","3"
"79","NA","NA","0","3","0","0","3"
"92","0","NA","NA","3","NA","0","3"
"107","2","NA","0","1","NA","0","3"
"109","NA","NA","NA","3","NA","0","3"
"120","NA","NA","NA","3","NA","0","3"
"122","NA","NA","NA","3","NA","0","3"
"132","NA","1","NA","2","NA","0","3"
"143","NA","0","0","3","NA","0","3"
"166","NA","NA","NA","3","0","0","3"
"167","NA","NA","NA","3","NA","0","3"
"178","1","NA","NA","2","0","0","3"
"182","NA","NA","NA","3","NA","0","3"
"191","NA","NA","NA","3","NA","0","3"
"198","0","0","0","3","0","0","3"
"5","0","NA","NA","2","NA","0","2"
"14","0","NA","NA","2","NA","0","2"
"19","0","NA","NA","2","NA","0","2"
"35","-1","NA","NA","2","NA","0","2"
"37","NA","NA","NA","2","0","0","2"
"44","NA","NA","NA","2","NA","0","2"
"73","NA","NA","NA","2","NA","0","2"
"81","NA","NA","NA","2","NA","0","2"
"104","NA","NA","NA","2","0","0","2"
"115","0","NA","NA","2","NA","0","2"
"116","0","NA","NA","2","NA","0","2"
"118","NA","NA","NA","2","NA","0","2"
"130","0","0","0","2","0","0","2"
"137","0","NA","NA","2","NA","0","2"
"139","NA","NA","NA","2","0","0","2"
"140","0","NA","0","2","NA","0","2"
"142","0","NA","NA","2","0","0","2"
"147","NA","NA","NA","2","NA","0","2"
"153","NA","NA","NA","2","NA","0","2"
"161","0","NA","NA","2","NA","0","2"
"168","NA","NA","NA","2","NA","0","2"
"173","NA","NA","0","2","NA","0","2"
"189","0","NA","NA","2","NA","0","2"
"193","NA","0","0","2","0","0","2"
"200","NA","NA","NA","2","NA","0","2"
"11","NA","1","0","NA","0","0","1"
"21","0","NA","NA","1","NA","0","1"
"23","0","NA","NA","1","0","0","1"
"33","NA","NA","NA","1","NA","0","1"
"38","NA","NA","0","1","-1","0","1"
"41","0","0","0","1","NA","0","1"
"42","NA","NA","0","1","NA","0","1"
"43","0","1","0","NA","NA","0","1"
"51","NA","NA","NA","1","0","0","1"
"52","NA","1","NA","NA","NA","0","1"
"54","NA","NA","NA","1","0","0","1"
"57","NA","NA","NA","1","NA","0","1"
"60","NA","NA","NA","1","NA","0","1"
"70","0","NA","NA","1","0","0","1"
"71","0","NA","NA","1","NA","0","1"
"76","0","NA","NA","1","0","0","1"
"83","NA","NA","NA","1","0","0","1"
"86","0","NA","NA","1","0","0","1"
"96","NA","0","0","1","NA","0","1"
"99","0","NA","NA","1","0","0","1"
"106","0","NA","NA","1","NA","0","1"
"108","NA","NA","NA","1","0","0","1"
"111","0","0","0","1","NA","0","1"
"112","NA","NA","NA","1","NA","0","1"
"119","0","NA","NA","1","NA","0","1"
"135","NA","0","0","1","0","0","1"
"136","NA","NA","NA","1","0","0","1"
"138","NA","NA","NA","1","0","0","1"
"145","NA","0","NA","1","0","0","1"
"176","0","NA","NA","1","NA","0","1"
"186","0","0","0","1","NA","0","1"
"190","NA","NA","NA","1","NA","0","1"
"195","NA","0","0","1","0","0","1"
"6","NA","NA","NA","0","NA","0","0"
"7","NA","NA","NA","0","NA","0","0"
"8","0","NA","NA","0","0","0","0"
"10","NA","NA","NA","0","0","0","0"
"12","NA","NA","-1","NA","NA","0","0"
"13","NA","0","NA","NA","NA","0","0"
"15","NA","-1","NA","2.5","NA","0","0"
"16","NA","0","0","NA","0","0","0"
"20","NA","0","0","0","NA","0","0"
"22","NA","NA","-1","NA","NA","0","0"
"24","NA","NA","NA","NA","NA","0","0"
"27","NA","NA","NA","NA","NA","0","0"
"28","NA","0","0","NA","NA","0","0"
"31","NA","NA","NA","NA","0","0","0"
"36","NA","NA","NA","NA","NA","0","0"
"45","0","0","0","0.5","0","0","0"
"46","0","NA","NA","0","0","0","0"
"47","0","0","0","0","NA","0","0"
"48","0","0","0","NA","NA","0","0"
"49","0","NA","0","NA","NA","0","0"
"50","0","NA","0","0","0","0","0"
"53","NA","NA","NA","NA","NA","0","0"
"55","NA","NA","NA","NA","NA","0","0"
"61","NA","NA","NA","NA","NA","0","0"
"62","0","NA","NA","NA","NA","0","0"
"63","NA","NA","NA","NA","-1","0","0"
"64","0","NA","-1","NA","0","0","0"
"65","0","NA","0","0","0","0","0"
"66","0","0","0","NA","NA","0","0"
"67","NA","-1","NA","-1","0","0","0"
"69","NA","0","0","NA","NA","0","0"
"74","0","NA","0","0","NA","0","0"
"75","NA","NA","-1","NA","0","0","0"
"77","0","NA","NA","NA","NA","1","0"
"82","NA","-1","0","NA","-1","0","0"
"84","NA","NA","NA","NA","0","0","0"
"85","NA","0","0","NA","NA","0","0"
"88","NA","0","0","NA","NA","0","0"
"89","NA","-1","0","NA","0","0","0"
"91","0","0","0","NA","0","0","0"
"93","NA","NA","NA","NA","NA","0","0"
"95","0","0","0","0","0","0","0"
"97","0","0","NA","NA","0","0","0"
"98","0","0","0","NA","NA","0","0"
"100","NA","NA","0","NA","0","0","0"
"101","NA","0","NA","NA","NA","0","0"
"102","NA","NA","NA","NA","NA","0","0"
"103","0","NA","NA","NA","NA","0","0"
"105","0","0","0","NA","0","0","0"
"110","0","NA","NA","NA","NA","0","0"
"113","NA","NA","NA","NA","NA","0","0"
"117","NA","NA","NA","NA","NA","0","0"
"121","NA","NA","NA","NA","NA","0","0"
"123","0","NA","0","NA","NA","0","0"
"124","0","0","0","NA","NA","0","0"
"125","NA","NA","0","NA","NA","0","0"
"126","NA","NA","NA","NA","NA","0","0"
"129","NA","NA","NA","NA","NA","0","0"
"133","NA","0","0","NA","0","0","0"
"134","0","NA","NA","0","NA","0","0"
"141","0","NA","NA","0","0","0","0"
"144","0","0","0","NA","NA","0","0"
"146","NA","0","0","NA","NA","0","0"
"148","NA","NA","0","NA","NA","0","0"
"149","NA","0","0","NA","NA","0","0"
"150","NA","NA","NA","NA","NA","0","0"
"151","0","NA","NA","NA","NA","0","0"
"152","NA","NA","0","NA","NA","0","0"
"157","0","0","0","NA","0","0","0"
"159","0","NA","NA","NA","NA","0","0"
"160","0","NA","NA","NA","0","0","0"
"162","0","NA","0","NA","0","0","0"
"164","NA","NA","NA","NA","NA","0","0"
"169","0","NA","NA","0","NA","0","0"
"170","0","NA","NA","NA","0","0","0"
"171","0","NA","NA","0","0","0","0"
"172","NA","NA","NA","NA","NA","0","0"
"174","0","NA","NA","0","0","0","0"
"175","NA","0","0","0","0","0","0"
"177","0","0","0","NA","0","0","0"
"179","NA","NA","NA","NA","NA","0","0"
"180","NA","NA","NA","NA","NA","0","0"
"181","0","0","0","NA","0","0","0"
"183","NA","NA","NA","NA","0","0","0"
"184","NA","NA","NA","NA","NA","0","0"
"185","0","0","0","NA","0","0","0"
"194","NA","NA","0","NA","NA","0","0"
"196","0","0","0","NA","NA","0","0"
"197","NA","NA","NA","0","NA","0","0"
